팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과
AC 밀란,AC 밀란 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 태클 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 태클 +3 / 
AS 모나코,AS 모나코 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 위치 선정 +2 / 헤더 +1 / ,전체 능력치 +4 / 위치 선정 +3 / 헤더 +3 / 
AS 생테티엔,AS 생테티엔 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 슬라이딩 태클 +1 / ,전체 능력치 +4 / 태클 +3 / 슬라이딩 태클 +3 / 
Back to Back,Back to Back 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Best of Europe 21,Best of Europe 21 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Best of World Cup,Best of World Cup 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Captain,Captain 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Chelsea F.C. Ambassador,Chelsea F.C. Ambassador 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Competitors Of Continents,Competitors Of Continents 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
European Best Stars,European Best Stars 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
FC 낭트,FC 낭트 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 태클 +3 / 몸싸움 +3 / 
FC 로리앙,FC 로리앙 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 중거리 슛 +2 / 가로채기 +1 / ,전체 능력치 +4 / 중거리 슛 +3 / 가로채기 +3 / 
FC 메스,FC 메스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 중거리 슛 +2 / 가속력 +1 / ,전체 능력치 +4 / 중거리 슛 +3 / 가속력 +3 / 
FC 바르셀로나,FC 바르셀로나 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 볼 컨트롤 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 볼 컨트롤 +3 / 
FC 바젤 1893,FC 바젤 1893 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 헤더 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 헤더 +3 / 
FC 살케 04,FC 살케 04 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 적극성 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 적극성 +3 / 반응 속도 +3 / 
FC 서울,FC 서울 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 가로채기 +3 / 대인 수비 +3 / 
FC 아우크스부르크,FC 아우크스부르크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 가로채기 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 가로채기 +3 / 
FC 안양,FC 안양 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 속력 +1 / ,전체 능력치 +4 / 드리블 +3 / 속력 +3 / 
FC 지롱댕 보르도,FC 지롱댕 보르도 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 대인 수비 +3 / 
FC 코펜하겐,FC 코펜하겐 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 적극성 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 적극성 +3 / 위치 선정 +3 / 
FC 포르투,FC 포르투 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 반응 속도 +3 / 
Free Agent,Free Agent 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Golden Rookies,Golden Rookies 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Heroes Of the Team,Heroes Of the Team 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
ICON,ICON 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
LA 갤럭시,LA 갤럭시 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 슛 파워 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 슛 파워 +3 / 중거리 슛 +3 / 
Legend of the Loan,Legend of the Loan 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Legendary Numbers,Legendary Numbers 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Liverpool F.C. Ambassador,Liverpool F.C. Ambassador 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,-,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,-,-
LOSC 릴,LOSC 릴 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 위치 선정 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 위치 선정 +3 / 골 결정력 +3 / 
Loyal Heroes,Loyal Heroes 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Man City Icon,Man City Icon 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,-,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,-,-
Moments of Glory,Moments of Glory 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Multi-League Champions,Multi-League Champions 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
National Hero Debut,National Hero Debut 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Nostalgia,Nostalgia 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
OGC 니스,OGC 니스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 적극성 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 적극성 +3 / 
PSV,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 가로채기 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 가로채기 +3 / 
RB 라이프치히,RB 라이프치히 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 민첩성 +2 / 시야 +1 / ,전체 능력치 +4 / 민첩성 +3 / 시야 +3 / 
RC 겡크,RC 겡크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 시야 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 시야 +3 / 
RC 랑스,RC 랑스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 스태미너 +3 / 대인 수비 +3 / 
RC 셀타 비고,RC 셀타 비고 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 적극성 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 적극성 +3 / 대인 수비 +3 / 
RC 스트라스부르,RC 스트라스부르 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 속력 +1 / ,전체 능력치 +4 / 크로스 +3 / 속력 +3 / 
RCD 마요르카,RCD 마요르카 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 대인 수비 +3 / 
RCD 에스파뇰,RCD 에스파뇰 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 중거리 슛 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 중거리 슛 +3 / 짧은 패스 +3 / 
Real Madrid CF Ambassador,Real Madrid CF Ambassador 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
SC 프라이부르크,SC 프라이부르크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 슬라이딩 태클 +1 / ,전체 능력치 +4 / 스태미너 +3 / 슬라이딩 태클 +3 / 
SD 에이바르,SD 에이바르 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 중거리 슛 +2 / 점프 +1 / ,전체 능력치 +4 / 중거리 슛 +3 / 점프 +3 / 
SD 우에스카,SD 우에스카 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 슬라이딩 태클 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 슬라이딩 태클 +3 / 
SL 벤피카,SL 벤피카 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 드리블 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 드리블 +3 / 
Spotlight,Spotlight 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Team K League,Team K League 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Team Korea Icon,Team Korea Icon 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Top Transfer,Top Transfer 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Tournament Best,Tournament Best 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Tournament Champions,Tournament Champions 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
TSG 호펜하임,TSG 호펜하임 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 가속력 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 가속력 +3 / 
Unsung Players,Unsung Players 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
Veteran,Veteran 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
VfB 슈투트가르트,VfB 슈투트가르트 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 속력 +2 / 드리블 +1 / ,전체 능력치 +4 / 속력 +3 / 드리블 +3 / 
VfL 볼프스부르크,VfL 볼프스부르크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 가로채기 +1 / ,전체 능력치 +4 / 태클 +3 / 가로채기 +3 / 
World Cup 2022,World Cup 2022 클래스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,-,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 /  /  / ,-
갈라타사라이 SK,갈라타사라이 SK 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 몸싸움 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 몸싸움 +3 / 골 결정력 +3 / 
강원 FC,강원 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 드리블 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 드리블 +3 / 
경남 FC,경남 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 크로스 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 크로스 +3 / 
광저우 R&F FC,광저우 R&F FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 드리블 +3 / 짧은 패스 +3 / 
광저우 에버그란데 타오바오,광저우 에버그란데 타오바오 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 프리킥 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 프리킥 +3 / 대인 수비 +3 / 
광주 FC,광주 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 헤더 +1 / ,전체 능력치 +4 / 크로스 +3 / 헤더 +3 / 
그라나다 CF,그라나다 CF 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 대인 수비 +3 / 
김천 상무,김천 상무 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 민첩성 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 민첩성 +3 / 
나폴리 FC,나폴리 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 시야 +2 / 커브 +1 / ,전체 능력치 +4 / 시야 +3 / 커브 +3 / 
뉴캐슬 유나이티드,뉴캐슬 유나이티드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 가속력 +3 / 긴 패스 +3 / 
님 올랭피크,님 올랭피크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 밸런스 +1 / ,전체 능력치 +4 / 스태미너 +3 / 밸런스 +3 / 
단일 팀,단일 팀 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +2 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 적극성 +1 / ,전체 능력치 +4 / 스태미너 +3 / 적극성 +3 / 
대구 FC,대구 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 시야 +2 / 가속력 +1 / ,전체 능력치 +4 / 시야 +3 / 가속력 +3 / 
대전 하나 시티즌,대전 하나 시티즌 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 적극성 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 적극성 +3 / 
데포르티보 알라베스,데포르티보 알라베스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 속력 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 속력 +3 / 
디나모 자그레브,디나모 자그레브 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 스태미너 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 스태미너 +3 / 
디나모 키이우,디나모 키예프 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 가속력 +3 / 중거리 슛 +3 / 
디종 FCO,디종 FCO 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 몸싸움 +2 / 밸런스 +1 / ,전체 능력치 +4 / 몸싸움 +3 / 밸런스 +3 / 
라티움,라티움 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 태클 +3 / 긴 패스 +3 / 
레드불 잘츠부르크,레드불 잘츠부르크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 스태미너 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 스태미너 +3 / 
레반테 UD,레반테 UD 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 속력 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 속력 +3 / 골 결정력 +3 / 
레스터 시티,레스터 시티 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 가로채기 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 가로채기 +3 / 
레알 마드리드,레알 마드리드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 시야 +2 / 드리블 +1 / ,전체 능력치 +4 / 시야 +3 / 드리블 +3 / 
레알 바야돌리드,레알 바야돌리드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 몸싸움 +3 / 
레알 베티스,레알 베티스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 침착성 +1 / ,전체 능력치 +4 / 드리블 +3 / 침착성 +3 / 
레알 소시에다드,레알 소시에다드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 골 결정력 +3 / 
레인저스,레인저스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 대인 수비 +3 / 
로마 FC,로마 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 시야 +1 / ,전체 능력치 +4 / 가로채기 +3 / 시야 +3 / 
리버풀,리버풀 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 속력 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 속력 +3 / 반응 속도 +3 / 
리즈 유나이티드,리즈 유나이티드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 스태미너 +3 / 위치 선정 +3 / 
맨체스터 시티,맨체스터 시티 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 시야 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 시야 +3 / 짧은 패스 +3 / 
