팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과
2022 스페인,2022시즌 스페인 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,볼 컨트롤 +3 / 짧은 패스 +3 / 민첩성 +2 / 반응 속도 +2,-,-,-
2022 아르헨티나,2022시즌 아르헨티나 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 시야 +3 / 짧은 패스 +2 / 태클 +2,-,-,-
2022 에콰도르,2022시즌 에콰도르 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,슬라이딩 태클 +3 / 속력 +3 / 적극성 +2 / 스태미너 +2,-,-,-
2022 우루과이,2022시즌 우루과이 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 가로채기 +3 / 위치 선정 +2 / 밸런스 +2,-,-,-
2022 웨일스,2022시즌 웨일스 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 속력 +3 / 몸싸움 +2 / 점프 +2,-,-,-
2022 이란,2022시즌 이란 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 몸싸움 +3 / 점프 +2 / 골 결정력 +2,-,-,-
2022 일본,2022시즌 일본 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 민첩성 +3 / 가속력 +2 / 볼 컨트롤 +2,-,-,-
2022 잉글랜드,2022시즌 잉글랜드 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 골 결정력 +3 / 민첩성 +2 / 짧은 패스 +2,-,-,-
2022 카메룬,2022시즌 카메룬 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,밸런스 +3 / 몸싸움 +3 / 짧은 패스 +2 / 침착성 +2,-,-,-
2022 카타르,2022시즌 카타르 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 위치 선정 +3 / 반응 속도 +2 / 슛 파워 +2,-,-,-
2022 캐나다,2022시즌 캐나다 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 민첩성 +3 / 크로스 +2 / 커브 +2,-,-,-
2022 코스타리카,2022시즌 코스타리카 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 점프 +3 / 스태미너 +2 / 위치 선정 +2,-,-,-
2022 크로아티아,2022시즌 크로아티아 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 크로스 +3 / 긴 패스 +2 / 태클 +2,-,-,-
2022 튀니지,2022시즌 튀니지 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 드리블 +3 / 볼 컨트롤 +2 / 몸싸움 +2,-,-,-
2022 포르투갈,2022시즌 포르투갈 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 볼 컨트롤 +3 / 짧은 패스 +2 / 민첩성 +2,-,-,-
2022 폴란드,2022시즌 폴란드 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 침착성 +3 / 헤더 +2 / 점프 +2,-,-,-
2022 프랑스,2022시즌 프랑스 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 민첩성 +3 / 반응 속도 +2 / 볼 컨트롤 +2,-,-,-
2022 호주,2022시즌 호주 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 헤더 +3 / 스태미너 +2 / 밸런스 +2,-,-,-
20시즌 울산 (ACL 우승),20시즌 아시아 챔피언스 리그 우승팀 울산 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 골 결정력 +3 / 중거리 슛 +2 / 반응 속도 +2,-,-,-
20시즌 전북 (리그 우승),20시즌 K리그 우승팀 전북 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 드리블 +3 / 몸싸움 +2 / 침착성 +2,-,-,-
21-22 1. FC 우니온 베를린 (기한한정),21-22시즌 1. FC 우니온 베를린에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,점프 +3 / 몸싸움 +3 / 대인 수비 +2 / 태클 +2,-,-,-
21-22 1. FC 쾰른 (기한한정),21-22시즌 1. FC 쾰른에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 가로채기 +3 / 밸런스 +2 / 대인 수비 +2,-,-,-
21-22 AC밀란 (기한한정),21-22시즌 AC밀란에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 적극성 +3 / 대인 수비 +2 / 짧은 패스 +2,-,-,-
21-22 AS 모나코 (기한한정),21-22시즌 AS 모나코에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 스태미너 +3 / 크로스 +2 / 커브 +2,-,-,-
21-22 FC 낭트 (기한한정),21-22시즌 FC 낭트에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 가로채기 +3 / 반응 속도 +2 / 태클 +2,-,-,-
21-22 OGC 니스 (기한한정),21-22시즌 OGC 니스에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 태클 +3 / 반응 속도 +2 / 대인 수비 +2,-,-,-
21-22 RB 라이프치히 (기한한정),21-22시즌 RB 라이프치히에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 짧은 패스 +3 / 위치 선정 +2 / 민첩성 +2,-,-,-
21-22 SC 프라이부르크 (기한한정),21-22시즌 SC 프라이부르크에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 대인 수비 +3 / 몸싸움 +2 / 스태미너 +2,-,-,-
21-22 나폴리 FC (기한한정),21-22시즌 나폴리 FC에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 골 결정력 +3 / 반응 속도 +2 / 위치 선정 +2,-,-,-
21-22 라티움 (기한한정),21-22시즌 라티움에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 긴 패스 +3 / 대인 수비 +2 / 슬라이딩 태클 +2,-,-,-
21-22 레알 마드리드 (기한한정),21-22시즌 레알 마드리드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 가속력 +3 / 볼 컨트롤 +2 / 드리블 +2,-,-,-
21-22 레알 베티스 (기한한정),21-22시즌 레알 베티스에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,침착성 +3 / 골 결정력 +3 / 가속력 +2 / 스태미너 +2,-,-,-
21-22 레알 소시에다드 (기한한정),21-22시즌 레알 소시에다드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,태클 +3 / 반응 속도 +3 / 위치 선정 +2 / 슬라이딩 태클 +2,-,-,-
21-22 로마 FC (기한한정),21-22시즌 로마 FC에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 짧은 패스 +3 / 스태미너 +2 / 위치 선정 +2,-,-,-
21-22 리버풀 (기한한정),21-22시즌 리버풀에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 가로채기 +3 / 스태미너 +2 / 크로스 +2,-,-,-
21-22 맨체스터 시티 (기한한정),21-22시즌 맨체스터 시티에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 볼 컨트롤 +3 / 시야 +2 / 드리블 +2,-,-,-
21-22 맨체스터 유나이티드 (기한한정),21-22시즌 맨체스터 유나이티드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,침착성 +3 / 몸싸움 +3 / GK 핸들링 +2 / 점프 +2,-,-,-
21-22 바르셀로나 (기한한정),21-22시즌 바르셀로나에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,볼 컨트롤 +3 / 짧은 패스 +3 / 위치 선정 +2 / 밸런스 +2,-,-,-
21-22 바이에른 뮌헨 (기한한정),21-22시즌 바이에른 뮌헨에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 짧은 패스 +3 / 몸싸움 +2 / 슛 파워 +2,-,-,-
21-22 바이엘 04 레버쿠젠 (기한한정),21-22시즌 바이엘 04 레버쿠젠에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 가속력 +3 / 반응 속도 +2 / 골 결정력 +2,-,-,-
21-22 보루시아 도르트문트 (기한한정),21-22시즌 보루시아 도르트문트에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,스태미너 +3 / 위치 선정 +3 / 밸런스 +2 / 적극성 +2,-,-,-
21-22 비야레알 CF (기한한정),21-22시즌 비야레알 CF에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 드리블 +3 / 시야 +2 / 적극성 +2,-,-,-
21-22 세비야 (기한한정),21-22시즌 세비야에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,크로스 +3 / 짧은 패스 +3 / 위치 선정 +2 / 스태미너 +2,-,-,-
21-22 스타드 렌 (기한한정),21-22시즌 스타드 렌에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 반응 속도 +3 / 짧은 패스 +2 / 볼 컨트롤 +2,-,-,-
21-22 아스널 (기한한정),21-22시즌 아스널에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,스태미너 +3 / 짧은 패스 +3 / 위치 선정 +2 / GK 킥 +2,-,-,-
21-22 아인트라흐트 프랑크푸르트 (기한한정),21-22시즌 아인트라흐트 프랑크푸르트에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 크로스 +3 / 태클 +2 / 골 결정력 +2,-,-,-
21-22 아틀레티코 마드리드 (기한한정),21-22시즌 아틀레티코 마드리드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 태클 +3 / 스태미너 +2 / 적극성 +2,-,-,-
21-22 올랭피크 마르세유 (기한한정),21-22시즌 올랭피크 마르세유에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,몸싸움 +3 / 점프 +3 / 위치 선정 +2 / 밸런스 +2,-,-,-
21-22 웨스트 햄 유나이티드 (기한한정),21-22시즌 웨스트 햄 유나이티드에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,크로스 +3 / 스태미너 +3 / 긴 패스 +2 / 몸싸움 +2,-,-,-
21-22 유벤투스 (기한한정),21-22시즌 유벤투스에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,밸런스 +3 / 짧은 패스 +3 / 몸싸움 +2 / 민첩성 +2,-,-,-
21-22 인테르 (기한한정),21-22시즌 인테르에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 골 결정력 +3 / 위치 선정 +2 / 드리블 +2,-,-,-
21-22 첼시 (기한한정),21-22시즌 첼시에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 가로채기 +3 / 대인 수비 +2 / 속력 +2,-,-,-
21-22 토트넘 홋스퍼 (기한한정),21-22시즌 토트넘 홋스퍼에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 커브 +3 / 슛 파워 +2 / 시야 +2,-,-,-
21-22 파리 생제르맹 (기한한정),21-22시즌 파리 생제르맹에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 가속력 +3 / 골 결정력 +2 / 민첩성 +2,-,-,-
21-22 피오렌티나 (기한한정),21-22시즌 피오렌티나에서 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 시야 +3 / 반응 속도 +2 / 밸런스 +2,-,-,-
98-99 수원삼성 리그연패 베스트,"1998년, 1999년 K리그 2연패를 달성한 수원삼성 블루윙즈 선수들로 구성된 팀컬러입니다.",5명,-,-,-,드리블 +2 / 반응 속도 +2 / 중거리 슛 +1 / ,-,-,-
eK리그 챔피언십 시즌1 우승 (기한한정),eK리그 챔피언십 시즌1 우승팀이 사용한 선수들로 이루어진 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 밸런스 +3 / 적극성 +2 / 헤더 +2,-,-,-
K리그 30주년 레전드,K리그 30주년 레전드에 선정된 선수들로 구성된 팀컬러입니다.,5명,-,-,-,침착성 +3 / 중거리 슛 +2 /  / ,-,-,-
K리그 EA 스포츠 POTM,EA스포츠에서 주관하는 K리그 이달의 선수 상을 받았던 선수로 구성된 팀컬러입니다.,3명,-,-,-,속력 +2 / 밸런스 +2 / 민첩성 +1 / ,-,-,-
K리그 트로이카,K리그 부흥기를 이끌었던 세명의 선수로 구성된 팀컬러입니다.,3명,-,-,-,슛 파워 +3 / 드리블 +3 / 프리킥 +3 / ,-,-,-
K리그 특별상,K리그 전경기 풀타임 출장 특별상을 받았던 선수로 구성된 팀컬러입니다.,3명,-,-,-,스태미너 +2 / GK 반응속도 +2 / GK 위치 선정 +1 / ,-,-,-
The Red's 공격 듀오,리버풀의 전설적인 공격 듀오로 구성된 팀컬러입니다.,2명,-,-,-,골 결정력 +1 / 가속력 +1 /  / ,-,-,-
The Red's 듀오,리버풀의 유명한 듀오로 구성된 팀컬러입니다.,2명,-,-,-,속력 +1 / 골 결정력 +1 /  / ,-,-,-
The Red's 양 날개,리버풀의 양 사이드백 듀오로 구성된 팀컬러입니다.,2명,-,-,-,슬라이딩 태클 +1 / 가속력 +1 /  / ,-,-,-
The Red's 영혼의 콤비,리버풀의 전설적인 콤비로 구성된 팀컬러입니다.,2명,-,-,-,위치 선정 +1 / 긴 패스 +1 /  / ,-,-,-
The Red's 트리오,리버풀 트리오로 구성된 팀컬러입니다.,3명,-,-,-,민첩성 +1 / 가속력 +1 / 골 결정력 +1 / ,-,-,-
갈락티코 1기,레알 마드리드 황금세대 1기 멤버로 구성된 팀컬러입니다.,5명,-,-,-,가속력 +2 / 반응 속도 +3 /  / ,-,-,-
강철제국 블루스,첼시의 최소실점 우승을 달성한 멤버로 구성된 팀컬러입니다.,5명,-,-,-,드리블 +2 / 골 결정력 +2 / 반응 속도 +1 / ,-,-,-
거너스 영혼의 콤비,아스날의 전설적인 콤비로 구성된 팀컬러입니다.,2명,-,-,-,골 결정력 +1 / 볼 컨트롤 +1 /  / ,-,-,-
게르만 듀오,인테르의 독일인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,침착성 +1 / 가로채기 +1 /  / ,-,-,-
꿀벌군단 공격 트리오,도르트문트의 유명한 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,위치 선정 +2 / 골 결정력 +1 /  / ,-,-,-
꿀벌군단 듀오,도르트문트의 유명한 듀오로 구성된 팀컬러입니다.,2명,-,-,-,반응 속도 +1 / 드리블 +1 /  / ,-,-,-
꿀벌군단 철벽수비진,도르트문트의 유명한 철벽 수비 라인으로 구성된 팀컬러입니다.,3명,-,-,-,몸싸움 +2 / 대인 수비 +1 /  / ,-,-,-
꿈의 잉글랜드 트리오,잉글랜드의 모두가 꿈꾸던 중원 트리오로 구성된 팀컬러입니다.,3명,-,-,-,위치 선정 +2 / 침착성 +1 /  / ,-,-,-
네덜란드 듀오,네덜란드의 전설적인 듀오로 구성된 팀컬러입니다.,2명,-,-,-,몸싸움 +1 / 헤더 +1 /  / ,-,-,-
네덜란드 황금세대,네덜란드 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,볼 컨트롤 +2 / 헤더 +2 / 짧은 패스 +1 / ,-,-,-
네라주리 공격 듀오,인테르의 유명한 공격 콤비로 구성된 팀컬러입니다.,2명,-,-,-,몸싸움 +1 / 중거리 슛 +1 /  / ,-,-,-
네라주리 트레블,인테르의 트레블을 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,대인 수비 +2 / 반응 속도 +2 / 가속력 +1 / ,-,-,-
덴마크 형제,덴마크의 유명한 형제 선수로 구성된 팀컬러입니다.,2명,-,-,-,드리블 +1 / 시야 +1 /  / ,-,-,-
독일 황금세대,독일 황금세대 선수들로 구성된 팀컬러입니다.,5명,-,-,-,짧은 패스 +2 / 골 결정력 +2 / 몸싸움 +1 / ,-,-,-
라티움 듀오,라티움의 뛰어난 호흡을 보인 두 선수로 구성된 팀컬러입니다.,2명,-,-,-,슬라이딩 태클 +1 / 반응 속도 +1 /  / ,-,-,-
라티움 트리오,라티움의 유명한 공격 트리오로 구성된 팀컬러입니다.,3명,-,-,-,골 결정력 +2 / 헤더 +1 /  / ,-,-,-
레드 데블스 트레블,맨체스터 유나이티드의 트레블을 달성한 선수들로 구성된 팀컬러입니다.,5명,-,-,-,헤더 +2 / 위치 선정 +2 / 스태미너 +1 / ,-,-,-
레드데블스 절친 트리오,맨체스터 유나이티드의 절친 트리오로 구성된 팀컬러입니다.,3명,-,-,-,가로채기 +2 / 속력 +1 /  / ,-,-,-
레드데블스 철벽라인,맨체스터 유나이티드의 철벽수비라인으로 구성된 팀컬러입니다.,3명,-,-,-,적극성 +2 / 대인 수비 +1 /  / ,-,-,-
레드데블스 키즈,맨체스터 유나이티드의 전설적인 유스출신 선수들로 구성된 팀컬러입니다.,3명,-,-,-,크로스 +2 / 볼 컨트롤 +1 /  / ,-,-,-
